item_id,blur_score,is_blurry,phash,duplicate_group_id,is_duplicate
brendanberg_twitter_b0b8fe11,3227.55,False,f2ccb46385979e30,276,False
brendanoconnell_twitter_d3bdf78a,354.6,False,cf3d38b49e306ac1,277,False
brettginsberg_twitter_3fd47014,1243.72,False,a499ed0bc390e45f,278,False
brianayers_twitter_301efb45,1315.56,False,9c1b631966673f90,279,False
briancsmith_twitter_fd243f2b,322.32,False,b5d0cc4e85ca7a2d,280,False
brianfarnham_twitter_b20a5ae1,1578.91,False,e06bdfb4c91c9234,281,False
brianfit_twitter_78e690a9,85.63,True,c09fcf38c6c96d60,282,False
briankemm_twitter_4cafb878,3861.36,False,ab2fd4c23cd5312a,283,False
briankurzweil_twitter_6dcee1ca,2202.45,False,f433934c7c4623d9,284,False
brianlucas_twitter_0029a561,469.95,False,b4d34bb44ead50ac,285,False
brianmonroe_twitter_0d870819,672.61,False,f6f3088fcfc0d098,286,False
briannagami_twitter_d995674e,509.31,False,cef83e1424667173,287,False
brianskellie_twitter_b47e71c9,250.27,False,999b12372dac42f3,288,False
briantiede_twitter_f4eb1a91,848.52,False,f24c9b2db54aa568,289,False
brianwang_twitter_f80fb669,518.4,False,bf165ad0417a6969,290,False
brittanyberger_twitter_fafd1913,752.31,False,e3958c294d86b9d3,291,False
brownsdon_twitter_6fe53f96,1212.53,False,bfcb34f0303473c2,292,False
brucewise_twitter_2f553b6a,262.2,False,eac6bce4b1399298,293,False
brunno_twitter_9b6a9245,253.15,False,ede34ca6c426b4c6,294,False
brunoconte_twitter_a89c7d01,403.09,False,e9975aa35ca134ca,295,False
brunolaurosantos_twitter_8a716ca6,439.93,False,cd663c373b382670,296,False
bryanmcanally_twitter_d3dddb06,156.33,False,bf90c30fcc6cc427,297,False
bryanrapoza_twitter_be255d3b,4790.43,False,952662675ecc23d9,298,False
bryans_twitter_7709146d,407.21,False,954bdb259c644ce6,299,False
bryantcabrera_twitter_0f3137aa,148.95,False,ecb147c78f8b9109,300,False
bryanwelsh_twitter_57834f40,255.1,False,d50649493bc1a3fb,301,False
bscheckel_twitter_5f510043,2770.16,False,baded70fc890f090,302,False
btihin_twitter_883c4751,93.63,True,c0fc0bf297b24f0a,303,False
burovayulia_twitter_ef120fad,437.2,False,f327a0da969998ca,304,False
