item_id,num_faces,face_confidence,face_area_ratio,face_cluster_id
dandydanno_twitter_ef12be32,1,0.92,0.106,-1
danehartwell_twitter_55c96988,1,0.0,0.995,-1
danielabutcu_twitter_7d4b625d,1,0.95,0.032,-1
danielcaceres_twitter_9af3b8da,1,0.0,0.995,-1
danielebazzano_twitter_19b02179,1,0.94,0.369,-1
danieledler_twitter_41d3d564,1,0.0,0.995,-1
danielemoggia_twitter_87fe0fcc,1,0.0,0.991,-1
daniellekogan_twitter_3137e165,1,1.0,0.375,-1
danielmoreno_twitter_0eb29f76,1,0.93,0.26,-1
danielrdossantos_twitter_1e6d964f,1,0.96,0.24,-1
danielscott_twitter_7b207443,1,0.92,0.122,-1
danieltaylor_twitter_a7eb9594,1,0.0,0.995,-1
daniiloros_twitter_1b7fc941,1,0.91,0.286,-1
danilojrr_twitter_3393482a,1,0.93,0.073,-1
dannybooty_twitter_7807c270,2,0.885,0.116,-1
dannyj_twitter_fa0ffae7,1,0.93,0.417,-1
dannyngan_twitter_47a10694,1,0.97,0.061,-1
danpancamo_twitter_33361335,1,0.94,0.459,-1
