item_id,top_label,top_label_score,label_scores
deepeshmd_twitter_640a6027,,0,{}
deflemonkid_twitter_0e653e8f,,0,{}
defyrecordings_twitter_48fe0fd6,,0,{}
delcoursolutions_twitter_aff8b44a,,0,{}
delgeronimo_twitter_4764d08d,,0,{}
denikasep_twitter_01c54f23,,0,{}
denisdoeland_twitter_78fe7afa,,0,{}
denisdubois_twitter_eebb382f,,0,{}
dennissmith_twitter_38d5aeeb,,0,{}
derekameyer_twitter_333d03ff,,0,{}
derekfromson_twitter_d09c64c2,,0,{}
derekmcclain_twitter_f0330ee8,,0,{}
derekrstewart_twitter_42ae9ed0,,0,{}
designergna_twitter_3e37fa1f,,0,{}
det_twitter_146cc4e8,,0,{}
developer71facebookgarygilstrap_twitter_734f35dc,,0,{}
developit_twitter_101a5bec,,0,{}
dewitopia_twitter_35e0a569,,0,{}
deya_twitter_e8aefea4,,0,{}
deydos_twitter_1dd3fcf0,,0,{}
dezelquillen_twitter_2692dfd8,,0,{}
dezydelima_twitter_5a390cc6,,0,{}
dheras_twitter_41bab982,,0,{}
dianaantholis_twitter_c160d10e,,0,{}
dianemueller_twitter_38e29cb7,,0,{}
diavianjacob_twitter_14603c8d,,0,{}
dibusydeabus_twitter_be9606fc,,0,{}
diegofunaro_twitter_78e8c37c,,0,{}
diegomanule_twitter_581873e7,,0,{}
dieterpeeters_twitter_1b4053d2,,0,{}
dimyume_twitter_ee158cea,,0,{}
divaka_twitter_efa86dab,,0,{}
divanotrite_twitter_b4bba3f1,,0,{}
djduncan_twitter_80542429,,0,{}
djemiliot_twitter_721ba2df,,0,{}
djquietstorm_twitter_ca5bb7de,,0,{}
djthedoctor_twitter_acf0bd78,,0,{}
dkakaiya_twitter_5abbc578,,0,{}
dlosuna_twitter_a4bbb25c,,0,{}
dmjoaoigor_twitter_5255b0cf,,0,{}
dnay_twitter_b7855b18,,0,{}
doanttran_twitter_b4c51a82,,0,{}
docouto_twitter_05278e0f,,0,{}
doctorparadox_twitter_307d3001,,0,{}
dolmisani_twitter_6fd452b3,,0,{}
dolphinsmind_twitter_29ffa7f7,,0,{}
dominicfuchs_twitter_3dd46828,,0,{}
dominiquedesrosiers_twitter_491b580b,,0,{}
domusauditoirum_twitter_0da830f7,,0,{}
domynatrix_twitter_39f16bb2,,0,{}
donanela_twitter_53570524,,0,{}
donatellotrisolino_twitter_228b2167,,0,{}
donkomo_twitter_ab97d4e6,,0,{}
donmik_twitter_57ef4d09,,0,{}
dontpose_twitter_e74e011e,,0,{}
dorahardy_twitter_be7955e9,,0,{}
dorothylovy_twitter_b7630072,,0,{}
dorsetscouser_twitter_5b0e44c8,,0,{}
dotsilicon_twitter_b88e6752,,0,{}
dougfrancis_twitter_7179cfd3,,0,{}
doughiltz_twitter_1617e4a6,,0,{}
dppschoenmaker_twitter_71559a68,,0,{}
drchrisstout_twitter_1f3b1e75,,0,{}
dreammm_twitter_4454b8d9,,0,{}
dreaprieto_twitter_d7289e52,,0,{}
drewalanbeaty_twitter_7c9415db,,0,{}
drseisenberg_twitter_5710be4b,,0,{}
dubecarlos_twitter_8b1ab165,,0,{}
dustinhershberger_twitter_f9f3f530,,0,{}
dwanellington_twitter_54c856c9,,0,{}
dwymonster_twitter_95ee518d,,0,{}
dygrafi_twitter_e4203246,,0,{}
dyzisaboy_twitter_68cb24bb,,0,{}
eamrselim_twitter_e64b635f,,0,{}
earthxplorer_twitter_d2164e6e,,0,{}
ebaechler_twitter_13a3e0ec,,0,{}
eboniife_twitter_6ba529bb,,0,{}
edersonsandre_twitter_40a51b70,,0,{}
edesonsouza_twitter_47d98416,,0,{}
edmondwong_twitter_20b3e730,,0,{}
edna_twitter_4043f2e2,,0,{}
edsafin_twitter_48e6c4fe,,0,{}
edscanlan_twitter_e8fd8f8e,,0,{}
eduardohernandezcamacho_twitter_fbab3acb,,0,{}
edwardanton_twitter_8023d850,,0,{}
edwardloh_twitter_1b11869b,,0,{}
efelippe_twitter_1e6d0fd4,,0,{}
ehrok_twitter_741402f9,,0,{}
ekafri_twitter_a931dc2e,,0,{}
