item_id,width,height,aspect_ratio,file_size_kb
bryanmcanally_twitter_d3dddb06,400,400,1.0,17.35
bryanrapoza_twitter_be255d3b,400,400,1.0,46.26
bryans_twitter_7709146d,400,400,1.0,24.6
bryantcabrera_twitter_0f3137aa,400,400,1.0,23.22
bryanwelsh_twitter_57834f40,400,400,1.0,21.64
bscheckel_twitter_5f510043,400,400,1.0,36.6
btihin_twitter_883c4751,400,400,1.0,19.86
burovayulia_twitter_ef120fad,180,180,1.0,8.55
caelanhuntress_twitter_65f721c6,400,400,1.0,3.11
caitlingarzi_twitter_5c8de85e,400,400,1.0,34.19
caitlynbates_twitter_f479a375,400,400,1.0,46.88
calculatedstepz_twitter_e1211123,400,400,1.0,19.6
calebkinchlow_twitter_76d51bbc,400,400,1.0,23.53
calfn_twitter_615be962,180,180,1.0,13.01
calistoga_twitter_780e5c7e,400,400,1.0,54.75
calitoe_twitter_d9d9c8fd,400,400,1.0,20.85
calvia_twitter_ae151315,400,400,1.0,32.36
camillek_twitter_141eee87,357,357,1.0,36.76
camillerodriquez_twitter_49cf2eee,400,400,1.0,29.13
camillevanneer_twitter_8092d25c,400,400,1.0,10.21
camiloathem_twitter_7abaf108,400,400,1.0,29.37
campervan_twitter_0e961c09,400,400,1.0,38.5
cancunstudios_twitter_854fa98d,400,400,1.0,15.1
capitu_twitter_12d37449,400,400,1.0,33.13
caravanacreativa_twitter_51f26755,400,400,1.0,29.52
carlarozman_twitter_2a5e352b,400,400,1.0,6.51
carlayashiro_twitter_bb547c88,400,400,1.0,22.42
carlescabrer_twitter_2eea5647,400,400,1.0,19.22
carlospl_twitter_ea765a41,400,400,1.0,25.59
carlycasper_twitter_1a14e789,400,400,1.0,20.06
carlydamico_twitter_c4192cee,400,400,1.0,34.88
carmenmg5_twitter_2c305a72,400,400,1.0,32.62
carolyncummins_twitter_6955b25f,400,400,1.0,19.22
carovillalva_twitter_2801aeea,400,400,1.0,42.54
carriebisme_twitter_429cd920,400,400,1.0,38.0
carsonbelinda_twitter_84227a7e,400,400,1.0,35.93
carstenlange_twitter_856412cb,400,400,1.0,23.95
carstenpaetz_twitter_fa72e20c,400,400,1.0,21.52
castellani_twitter_7685121c,400,400,1.0,30.33
castlecruz_twitter_4e35cd74,400,400,1.0,38.59
catarinavarao_twitter_52dd9490,400,400,1.0,27.19
catchtorolav_twitter_8b9bd823,400,400,1.0,22.54
catinamurillo_twitter_a5bee91f,400,400,1.0,25.91
catturner_twitter_6111ca3b,400,400,1.0,38.22
cavdan_twitter_ff812e57,400,400,1.0,20.32
cblack_twitter_ab567e36,400,400,1.0,19.91
cecilialiao_twitter_8114c50f,400,400,1.0,23.0
cecilyarambula_twitter_6d59bf95,400,400,1.0,23.66
celebquote_twitter_d7d850f3,400,400,1.0,8.44
celebrone_twitter_653b77af,400,400,1.0,19.54
celiooliveira_twitter_2b50466d,281,281,1.0,24.08
cemtozar_twitter_5a8c30a1,400,400,1.0,22.75
chadnewman_twitter_2bb9c94c,400,400,1.0,25.98
chammccutchen_twitter_bdc83149,400,400,1.0,36.9
charlablue_twitter_af8d2706,400,400,1.0,34.09
charlielujan_twitter_e3d71bfe,400,400,1.0,19.28
charliemac_twitter_6eb445af,400,400,1.0,34.57
charyshed_twitter_04a093f2,400,400,1.0,31.78
cheeseberger_twitter_34af91d4,400,400,1.0,31.39
chekostyle_twitter_8a3ddbf1,400,400,1.0,41.1
chelseastark_twitter_7ed870e1,400,400,1.0,35.23
chertanchico_twitter_5096f5c5,400,400,1.0,25.25
chiarapis_twitter_1cb5831f,400,400,1.0,58.42
chitraagrawal_twitter_24d02a87,400,400,1.0,19.58
chonilla_twitter_d46bd2f9,240,240,1.0,10.18
chrisastall_twitter_eaa83c0b,400,400,1.0,26.44
chrischass_twitter_f47d1a66,400,400,1.0,22.92
chrisdate_twitter_391a1303,353,353,1.0,27.86
chrisdscottphoto_twitter_aad91686,400,400,1.0,17.6
chrisgiddens_twitter_7c83a65e,377,377,1.0,21.22
chrishartley_twitter_d9e20805,400,400,1.0,46.55
chrislittler_twitter_99e41bae,400,400,1.0,25.41
chrismontoya_twitter_90b253a4,400,400,1.0,19.88
chrisparkin_twitter_985edc2b,400,400,1.0,26.6
chrispenny_twitter_2fae5cd4,400,400,1.0,26.85
christiancalvino_twitter_bb6b0e90,400,400,1.0,35.62
christiankoestlin_twitter_a31e1fdc,400,400,1.0,15.79
christianperez_twitter_2299dbb0,400,400,1.0,25.01
christiepingvin_twitter_2ef3aeae,400,400,1.0,16.62
christinalauren_twitter_dca05357,400,400,1.0,43.09
christinehauer_twitter_673671a3,400,400,1.0,49.97
christinema_twitter_e6ee255a,400,400,1.0,24.08
christophelaurent_twitter_b8e10d8b,400,400,1.0,31.05
christopherbornstein_twitter_f6263ad1,400,400,1.0,20.83
christopherdavidkaufman_twitter_0f38535d,317,317,1.0,18.32
christopherhyde_twitter_97ce18ac,400,400,1.0,39.77
christopherichert_twitter_3527d14e,400,400,1.0,31.29
christopherspiewak_twitter_f754e7ef,400,400,1.0,15.59
chriswright_twitter_48f04754,240,240,1.0,11.16
chrisyoungdesign_twitter_2e8e1a45,306,306,1.0,21.99
chromjuwelen_twitter_44aace3c,400,400,1.0,10.27
cimet_twitter_d6861d2a,240,240,1.0,9.82
cintiamcr_twitter_05632c7c,400,400,1.0,21.03
cjeam_twitter_4fcdd4ff,400,400,1.0,25.01
ckassociati_twitter_cfea6260,400,400,1.0,17.24
claireisabel_twitter_00ed0ba9,400,400,1.0,34.92
clairewickenden_twitter_de78478c,400,400,1.0,40.34
claudiogiulio_twitter_81f48d78,400,400,1.0,19.88
claudiogonzalo_twitter_f3fc1513,400,400,1.0,17.4
clayton21_twitter_19bfbdc8,400,400,1.0,19.84
clintmccollum_twitter_ea226b12,400,400,1.0,25.78
cnicely_twitter_d947add4,400,400,1.0,26.22
coachnicole_twitter_45569184,400,400,1.0,16.19
coastermedia_twitter_fc01adea,400,400,1.0,29.22
codyo_twitter_af540ffe,400,400,1.0,41.36
colinmaddox_twitter_bac44134,400,400,1.0,20.84
colinmilligan_twitter_98b5da65,254,254,1.0,18.59
colinolford_twitter_dbc11135,300,300,1.0,24.61
colleenburns_twitter_64c360cc,400,400,1.0,21.37
condottasuite_twitter_20305e8c,400,400,1.0,35.95
conorgilmer_twitter_a284faa0,400,400,1.0,18.55
conradomacalossi_twitter_3f8d1cb0,375,375,1.0,22.56
constanceruppender_twitter_a330ea1b,400,400,1.0,21.81
consuelogandia_twitter_e80fad7f,400,400,1.0,13.5
coreyjo_twitter_15edcb16,400,400,1.0,10.76
corgimas_twitter_dc6ee838,400,400,1.0,33.83
corporatephotographer_twitter_e1f7bcef,400,400,1.0,28.22
countup_twitter_061dff35,400,400,1.0,15.06
cousindirk_twitter_f854ebf0,400,400,1.0,13.47
craigansell_twitter_80828ec5,400,400,1.0,32.31
craigdeakin_twitter_a9f984ec,400,400,1.0,22.64
cranesitearo_twitter_5e50cfd4,400,400,1.0,23.59
cris33_twitter_a30384ae,400,400,1.0,24.44
cristianmarimon_twitter_16bf4380,400,400,1.0,22.0
cristianovalim_twitter_26819ccb,400,400,1.0,37.19
cristinac_twitter_1d2519b8,400,400,1.0,17.59
cristinadirnea_twitter_ab35335a,400,400,1.0,34.97
croome_twitter_08dfdb29,400,400,1.0,25.96
crossleykim_twitter_bb6d297f,400,400,1.0,31.84
crowdini_twitter_285c305f,400,400,1.0,24.61
cskonsol_twitter_cc840591,400,400,1.0,32.32
csrollyson_twitter_12c8b63d,400,400,1.0,21.63
currobarrena_twitter_5b486596,400,400,1.0,40.3
curtiscavanaugh_twitter_16042cb7,400,400,1.0,38.93
curtisguise_twitter_bcc48f02,400,400,1.0,22.1
customfitonline_twitter_1717b755,400,400,1.0,53.38
cyclofiend_twitter_cc720166,400,400,1.0,32.19
cyko_twitter_d5f5c749,225,225,1.0,7.78
cynthiakseymour_twitter_a5bef8d5,400,400,1.0,20.74
daeglo_twitter_21cd683f,400,400,1.0,13.75
daeshinkim_twitter_05a93018,400,400,1.0,22.29
daimanuel_twitter_d369544c,400,400,1.0,20.5
dalereynolds_twitter_583a22fc,400,400,1.0,30.58
dallasfoodie_twitter_6cd58621,315,315,1.0,18.81
damianopovoleri_twitter_63ed9f56,400,400,1.0,34.2
danacosta_twitter_c80f1786,400,400,1.0,27.06
danajones_twitter_c8e78cf5,400,400,1.0,24.09
danbeazley_twitter_8bd3cb42,258,258,1.0,14.85
danbrown_twitter_5e560c3d,400,400,1.0,27.26
dancondon_twitter_3fb350f7,400,400,1.0,27.54
dandydanno_twitter_ef12be32,400,400,1.0,43.01
danehartwell_twitter_55c96988,400,400,1.0,50.36
danielabutcu_twitter_7d4b625d,400,400,1.0,47.66
danielcaceres_twitter_9af3b8da,400,400,1.0,24.09
danielebazzano_twitter_19b02179,400,400,1.0,27.57
danieledler_twitter_41d3d564,400,400,1.0,42.19
danielemoggia_twitter_87fe0fcc,225,225,1.0,13.36
daniellekogan_twitter_3137e165,400,400,1.0,17.21
danielmoreno_twitter_0eb29f76,400,400,1.0,26.87
danielrdossantos_twitter_1e6d964f,400,400,1.0,19.33
danielscott_twitter_7b207443,400,400,1.0,22.24
danieltaylor_twitter_a7eb9594,400,400,1.0,32.57
daniiloros_twitter_1b7fc941,400,400,1.0,26.32
danilojrr_twitter_3393482a,400,400,1.0,21.04
dannybooty_twitter_7807c270,400,400,1.0,25.58
dannyj_twitter_fa0ffae7,240,240,1.0,11.45
dannyngan_twitter_47a10694,400,400,1.0,26.97
danpancamo_twitter_33361335,400,400,1.0,19.88
danweese_twitter_b5c73ac6,400,400,1.0,35.57
