model,calibrator,threshold,tp,fp,fn,tn,precision,recall,f1
rf,isotonic,0.26,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.27,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.28,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.29000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.3,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.31,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.32,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.33,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.34,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.35000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.36000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.37,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.38,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.39,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.4,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.41000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.42000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.43,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.44,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.45,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.46,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.47000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.48000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.49,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,isotonic,0.5,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,sigmoid,0.01,1207,8233,0,453468,0.12786016949152543,1.0,0.2267305344228421
rf,sigmoid,0.02,1207,8230,0,453471,0.1279008159372682,1.0,0.2267944381811349
rf,sigmoid,0.03,1207,8230,0,453471,0.1279008159372682,1.0,0.2267944381811349
rf,sigmoid,0.04,1207,8230,0,453471,0.1279008159372682,1.0,0.2267944381811349
rf,sigmoid,0.05,1207,8230,0,453471,0.1279008159372682,1.0,0.2267944381811349
rf,sigmoid,0.060000000000000005,1207,8197,0,453504,0.12834963845172268,1.0,0.2274997643954387
rf,sigmoid,0.06999999999999999,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.08,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.09,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.09999999999999999,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.11,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.12,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.13,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.14,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.15000000000000002,1207,8196,0,453505,0.12836328831224078,1.0,0.22752120640904808
rf,sigmoid,0.16,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.17,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.18000000000000002,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.19,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.2,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.21000000000000002,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
rf,sigmoid,0.22,1207,8164,0,453537,0.1288016220253975,1.0,0.22820949139723956
