profile_id_a,profile_id_b,sim_score
instagram_robertjbanach,twitter_robertjbanach,1.0
instagram_rahulfow,twitter_rahulfow,1.0
instagram_robingood,twitter_robingood,1.0
instagram_dewback,twitter_dewback,1.0
instagram_caiocorraini,twitter_caiocorraini,1.0
instagram_poetinthepantry,twitter_poetinthepantry,1.0
twitter_robertnelson,instagram_robertnelson,1.0
instagram_baltimoretom,twitter_baltimoretom,1.0
instagram_robcoenen,twitter_robcoenen,1.0
instagram_cabraldik,twitter_cabraldik,1.0
instagram_robboudon,twitter_robboudon,1.0
instagram_robbell,twitter_robbell,1.0
instagram_cpd623,twitter_cpd623,1.0
instagram_koloheboy,twitter_koloheboy,1.0
instagram_robymb,twitter_robymb,1.0
instagram_robknight,twitter_robknight,1.0
instagram_simba_sherif,twitter_simba_sherif,1.0
instagram_shaunbingham,twitter_shaunbingham,1.0
instagram_bigguyd,twitter_bigguyd,1.0
instagram_halauyama,twitter_halauyama,1.0
instagram_halilgokdal,twitter_halilgokdal,1.0
instagram_afantarisal,twitter_afantarisal,1.0
instagram_harvest316,twitter_harvest316,1.0
instagram_harrybutcher,twitter_harrybutcher,1.0
instagram_harisrahman,twitter_harisrahman,1.0
instagram_maricler,twitter_maricler,1.0
instagram_shawntkeating,twitter_shawntkeating,1.0
instagram_cleutonrs,twitter_cleutonrs,1.0
instagram_webgrrrl,twitter_webgrrrl,1.0
instagram_webcitygirls,twitter_webcitygirls,1.0
instagram_amrosario,twitter_amrosario,1.0
instagram_matthewhoare,twitter_matthewhoare,1.0
instagram_haraldkrassnitzer,googleplus_haraldkrassnitzer,1.0
instagram_amritamathur,twitter_amritamathur,1.0
twitter_gringgolf,instagram_gringgolf,1.0
instagram_halwerner,twitter_halwerner,1.0
twitter_martinsabag,instagram_martinsabag,1.0
googleplus_edwardbuxton,twitter_edwardbuxton,1.0
instagram_arron_daniels,twitter_arron_daniels,1.0
instagram_beerluver,twitter_beerluver,1.0
instagram_mariedomingo,twitter_mariedomingo,1.0
instagram_gatosg,twitter_gatosg,1.0
instagram_dazmsmith,twitter_dazmsmith,1.0
instagram_dazeofadventure,twitter_dazeofadventure,1.0
instagram_weinkaiser,twitter_weinkaiser,1.0
instagram_beckenkamp,twitter_beckenkamp,1.0
googleplus_shadmanjamil,instagram_shadmanjamil,1.0
instagram_dcvitti,twitter_dcvitti,1.0
instagram_dedicatedshep,twitter_dedicatedshep,1.0
instagram_atheenow,twitter_atheenow,1.0
googleplus_aryatayebi,instagram_aryatayebi,1.0
instagram_hirosh,twitter_hirosh,1.0
instagram_dextress,twitter_dextress,1.0
instagram_hansvaneijsden,twitter_hansvaneijsden,1.0
instagram_robkrueger,twitter_robkrueger,1.0
instagram_robrv,twitter_robrv,1.0
instagram_homersapien619,twitter_homersapien619,1.0
instagram_gongranja,twitter_gongranja,1.0
twitter_iancahir,googleplus_iancahir,1.0
googleplus_ianfoss,instagram_ianfoss,1.0
instagram_aubreandrus,twitter_aubreandrus,1.0
instagram_austinsible,twitter_austinsible,1.0
instagram_iamstephenliu,twitter_iamstephenliu,1.0
instagram_iamlfb,twitter_iamlfb,1.0
instagram_iamarunr,twitter_iamarunr,1.0
instagram_avalemert,twitter_avalemert,1.0
instagram_iamaaronmartin,twitter_iamaaronmartin,1.0
instagram_avaragado,twitter_avaragado,1.0
instagram_avatartravel,twitter_avatartravel,1.0
instagram_cjharrisone,twitter_cjharrisone,1.0
instagram_hughesonthenet,twitter_hughesonthenet,1.0
instagram_exposur3,twitter_exposur3,1.0
instagram_umakantjani,twitter_umakantjani,1.0
instagram_ashleyphayward,twitter_ashleyphayward,1.0
instagram_ianapplegate,twitter_ianapplegate,1.0
instagram_kartika9,twitter_kartika9,1.0
instagram_deborahwise,twitter_deborahwise,1.0
instagram_benpike,twitter_benpike,1.0
instagram_bentepfer,twitter_bentepfer,1.0
instagram_bentyyc,twitter_bentyyc,1.0
instagram_ben_tarrant,twitter_ben_tarrant,1.0
instagram_mediamusea,twitter_mediamusea,1.0
instagram_stevecassady1,googleplus_stevecassady1,1.0
twitter_neonflash,instagram_neonflash,1.0
instagram_asanaparada,twitter_asanaparada,1.0
instagram_asacredrebel,twitter_asacredrebel,1.0
instagram_aseroff,twitter_aseroff,1.0
instagram_chcameron,twitter_chcameron,1.0
instagram_motorcash,twitter_motorcash,1.0
instagram_deckerweb,twitter_deckerweb,1.0
instagram_debsuvra,twitter_debsuvra,1.0
instagram_debmomof3,twitter_debmomof3,1.0
instagram_societychurch,twitter_societychurch,1.0
instagram_karltonutter,twitter_karltonutter,1.0
instagram_psimac,twitter_psimac,1.0
googleplus_ceciliacorral,instagram_ceciliacorral,1.0
instagram_briancsmith,twitter_briancsmith,1.0
instagram_maxfabrizi,twitter_maxfabrizi,1.0
instagram_briandusablon,twitter_briandusablon,1.0
instagram_maxkuri,twitter_maxkuri,1.0
instagram_brianeisley,twitter_brianeisley,1.0
instagram_briankameoka,twitter_briankameoka,1.0
instagram_brianisunfallen,twitter_brianisunfallen,1.0
googleplus_brienhall,twitter_brienhall,1.0
instagram_cmroman,twitter_cmroman,1.0
instagram_markmyles,twitter_markmyles,1.0
instagram_whoiscarmine,twitter_whoiscarmine,1.0
instagram_wholeworldtrip,twitter_wholeworldtrip,1.0
instagram_cbachini,twitter_cbachini,1.0
instagram_clouvi,twitter_clouvi,1.0
instagram_clopin,twitter_clopin,1.0
instagram_cecycorrea,twitter_cecycorrea,1.0
googleplus_ceciliacorral,twitter_ceciliacorral,1.0
instagram_brianjbradley,twitter_brianjbradley,1.0
instagram_ceciliacorral,twitter_ceciliacorral,1.0
instagram_socialstephen,twitter_socialstephen,1.0
instagram_karineardault,twitter_karineardault,1.0
instagram_karimkhan8,twitter_karimkhan8,1.0
instagram_kariemitchell,twitter_kariemitchell,1.0
instagram_karidbn,twitter_karidbn,1.0
instagram_cjmorris,twitter_cjmorris,1.0
instagram_sociallyahead,twitter_sociallyahead,1.0
instagram_socialcloudtech,twitter_socialcloudtech,1.0
instagram_karmicangel,twitter_karmicangel,1.0
instagram_socialcolectivo,twitter_socialcolectivo,1.0
instagram_karinakaos,twitter_karinakaos,1.0
instagram_writerscorps,twitter_writerscorps,1.0
instagram_cisene,twitter_cisene,1.0
instagram_chuckkillorin,twitter_chuckkillorin,1.0
instagram_cgarridoc,twitter_cgarridoc,1.0
instagram_matthewoyoung,twitter_matthewoyoung,1.0
instagram_gregnemer,twitter_gregnemer,1.0
instagram_sadekhm,twitter_sadekhm,1.0
googleplus_gautamhans1,instagram_gautamhans1,1.0
instagram_yanic,twitter_yanic,1.0
twitter_yannabeatrice,instagram_yannabeatrice,1.0
instagram_durvalfilho,twitter_durvalfilho,1.0
instagram_windyjonas,twitter_windyjonas,1.0
instagram_lukaspman,twitter_lukaspman,1.0
instagram_clifto,twitter_clifto,1.0
instagram_lukemv,twitter_lukemv,1.0
instagram_gaufgang,twitter_gaufgang,1.0
instagram_mathieuparisot,twitter_mathieuparisot,1.0
instagram_mickyates,twitter_mickyates,1.0
instagram_michikunz77,twitter_michikunz77,1.0
instagram_michidelrosso,twitter_michidelrosso,1.0
instagram_micheemichee520,twitter_micheemichee520,1.0
instagram_cliffpavlovic,twitter_cliffpavlovic,1.0
instagram_clifmims,twitter_clifmims,1.0
instagram_wesley_cruise,twitter_wesley_cruise,1.0
instagram_dtireli,twitter_dtireli,1.0
instagram_bindermichi,twitter_bindermichi,1.0
instagram_yourdailyphil,twitter_yourdailyphil,1.0
instagram_yourdailyart,twitter_yourdailyart,1.0
instagram_adesyahlubis,twitter_adesyahlubis,1.0
instagram_supertoph,twitter_supertoph,1.0
instagram_kevinlamphoto,twitter_kevinlamphoto,1.0
twitter_kevinsutton,instagram_kevinsutton,1.0
instagram_kevinatari,twitter_kevinatari,1.0
instagram_adek_adek,twitter_adek_adek,1.0
instagram_abbyharenberg,twitter_abbyharenberg,1.0
instagram_aasiain,twitter_aasiain,1.0
instagram_achocarro,twitter_achocarro,1.0
instagram_seosteve,twitter_seosteve,1.0
instagram_bethebean66,twitter_bethebean66,1.0
instagram_megatti,twitter_megatti,1.0
instagram_sethkcain,twitter_sethkcain,1.0
instagram_mengqimusic,twitter_mengqimusic,1.0
instagram_metingunvar,twitter_metingunvar,1.0
instagram_westondunn,twitter_westondunn,1.0
instagram_dydy_hujan,twitter_dydy_hujan,1.0
instagram_virajt,twitter_virajt,1.0
instagram_talkout,twitter_talkout,1.0
instagram_swism,twitter_swism,1.0
instagram_jiriruzek,twitter_jiriruzek,1.0
googleplus_migscruz,twitter_migscruz,1.0
googleplus_miguelcaria,twitter_miguelcaria,1.0
googleplus_micahphillips,twitter_micahphillips,1.0
instagram_michelejmartin,twitter_michelejmartin,1.0
instagram_eesmyal,twitter_eesmyal,1.0
instagram_mightyjoecastro,twitter_mightyjoecastro,1.0
instagram_michaelarkins,twitter_michaelarkins,1.0
instagram_miguelsanchz,twitter_miguelsanchz,1.0
instagram_michaelreuter,twitter_michaelreuter,1.0
instagram_spookychan,twitter_spookychan,1.0
instagram_jediwright,twitter_jediwright,1.0
instagram_aerendir,twitter_aerendir,1.0
instagram_scaredofgenre,twitter_scaredofgenre,1.0
instagram_talkultra,twitter_talkultra,1.0
instagram_michaeljdennis,twitter_michaeljdennis,1.0
instagram_dygrafiglali,twitter_dygrafiglali,1.0
instagram_tantawi,twitter_tantawi,1.0
instagram_eapesteguia,twitter_eapesteguia,1.0
instagram_troshy,twitter_troshy,1.0
instagram_trollkarlnet,twitter_trollkarlnet,1.0
instagram_chrisgachot,twitter_chrisgachot,1.0
instagram_eczong,twitter_eczong,1.0
instagram_liquidisity,twitter_liquidisity,1.0
instagram_polsanti,twitter_polsanti,1.0
instagram_slick_willis,twitter_slick_willis,1.0
instagram_captkeating,twitter_captkeating,1.0
twitter_michaelsb,instagram_michaelsb,1.0
instagram_marisa_sabatini,twitter_marisa_sabatini,1.0
twitter_michaelgodfre,instagram_michaelgodfre,1.0
twitter_michaeljoel,instagram_michaeljoel,1.0
instagram_ednacz,twitter_ednacz,1.0
instagram_tanaihoffman,twitter_tanaihoffman,1.0
instagram_kevinpdevera,twitter_kevinpdevera,1.0
instagram_kevinrfoote,twitter_kevinrfoote,1.0
instagram_adeeonline,twitter_adeeonline,1.0
instagram_mattcdrawsalot,twitter_mattcdrawsalot,1.0
instagram_teoskylark,twitter_teoskylark,1.0
instagram_shaunarmstrong,twitter_shaunarmstrong,1.0
instagram_shawn2death,twitter_shawn2death,1.0
instagram_dcgal62,twitter_dcgal62,1.0
instagram_gesteves,twitter_gesteves,1.0
instagram_may_hanna,twitter_may_hanna,1.0
instagram_mayka,twitter_mayka,1.0
instagram_guidobaechler,twitter_guidobaechler,1.0
instagram_gleonhard,twitter_gleonhard,1.0
instagram_gletham,twitter_gletham,1.0
instagram_glenn_thorpe,twitter_glenn_thorpe,1.0
instagram_glenndavisjr,twitter_glenndavisjr,1.0
instagram_shaicoggins,twitter_shaicoggins,1.0
instagram_shanewalter,twitter_shanewalter,1.0
instagram_maubrowncow,twitter_maubrowncow,1.0
instagram_goroji,twitter_goroji,1.0
instagram_shantesh,twitter_shantesh,1.0
instagram_sharin_sg,twitter_sharin_sg,1.0
instagram_mattauckland,twitter_mattauckland,1.0
instagram_matiassecchi,twitter_matiassecchi,1.0
instagram_matt_daniels,twitter_matt_daniels,1.0
instagram_matteobevi,twitter_matteobevi,1.0
twitter_mattcoe,instagram_mattcoe,1.0
instagram_shannonrlittle,twitter_shannonrlittle,1.0
