Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
,,,unknown,0,,
Taiwán,taiwán,taiwán,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
High Peak (Peak District),high peak (peak district),high peak peak district,text_location,1,,
"Казань
, Россия","казань , россия","казань , россия",text_location,1,,
,,,unknown,0,,
"New Delhi, India","new delhi, india","new delhi, india",text_location,1,,
,,,unknown,0,,
"Paris, France","paris, france","paris, france",text_location,1,,
Gold Coast (Australia),gold coast (australia),gold coast australia,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
London,london,london,text_location,1,,
"Columbus, OH","columbus, oh","columbus, oh",text_location,1,,
,,,unknown,0,,
Italia,italia,italia,text_location,1,,
,,,unknown,0,,
"Melbourne, Australia","melbourne, australia","melbourne, australia",text_location,1,,
,,,unknown,0,,
Japan,japan,japan,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Toronto,toronto,toronto,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
New York City,new york city,new york city,text_location,1,,
"Santiago, Chile","santiago, chile","santiago, chile",text_location,1,,
"Donostia-San Sebastián, Spain","donostia-san sebastián, spain","donostia-san sebastián, spain",text_location,1,,
,,,unknown,0,,
My head,my head,my head,text_location,1,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
Colorado,colorado,colorado,text_location,1,,
"Newcastle upon Tyne,England","newcastle upon tyne,england","newcastle upon tyne,england",text_location,1,,
"Irving, TX","irving, tx","irving, tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Salt Lake City, UT","salt lake city, ut","salt lake city, ut",text_location,1,,
"Knoxville, TN","knoxville, tn","knoxville, tn",text_location,1,,
České Budějovice,české budějovice,české budějovice,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Colombo, Sri Lanka","colombo, sri lanka","colombo, sri lanka",text_location,1,,
"Bristol, UK","bristol, uk","bristol, uk",text_location,1,,
,,,unknown,0,,
New York,new york,new york,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Central NJ,central nj,central nj,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Detroit, MI","detroit, mi","detroit, mi",text_location,1,,
"EHT, NJ, USA","eht, nj, usa","eht, nj, usa",text_location,1,,
,,,unknown,0,,
India,india,india,text_location,1,,
worldwide,worldwide,worldwide,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Cadaqués - Barcelona,cadaqués - barcelona,cadaqués - barcelona,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
outside of philadelphia.,outside of philadelphia.,outside of philadelphia.,text_location,1,,
"Norwich, England","norwich, england","norwich, england",text_location,1,,
