source_id,source_platform,rank,target_id,target_platform,fused_cosine,clip_cosine,face_cosine,clip_l2,face_l2,is_same_person
adamcarlson,twitter,5,thexwarrior,twitter,0.827582,0.665747,0.989417,0.817622,0.145488,False
adamcarlson,twitter,6,alefeldman,twitter,0.823752,0.665055,0.982448,0.818468,0.18736,False
adamcarlson,twitter,7,letchange,twitter,0.823184,0.698916,0.947451,0.775995,0.324187,False
adamcarlson,twitter,8,nitastronauta,twitter,0.820999,0.733453,0.908545,0.730133,0.42768,False
adamcarlson,twitter,9,noslo,twitter,0.820655,0.710869,0.930441,0.760435,0.372987,False
adamcarlson,twitter,10,francescomeani,twitter,0.81969,0.65983,0.979549,0.824827,0.202242,False
adamcarlson,twitter,11,mattshields,twitter,0.819677,0.681502,0.957852,0.79812,0.290338,False
adamcarlson,twitter,12,jimbgreen,twitter,0.819146,0.670081,0.968211,0.812305,0.252146,False
adamcarlson,twitter,13,jects,twitter,0.818785,0.654393,0.983176,0.831393,0.183435,False
adamcarlson,twitter,14,madovsky,twitter,0.81836,0.659295,0.977425,0.825475,0.212487,False
adamcarlson,twitter,15,hflpjtrade,twitter,0.818202,0.651383,0.98502,0.835005,0.173092,False
adamcarlson,twitter,16,udomichelcuria,twitter,0.816576,0.659677,0.973476,0.825013,0.230323,False
adamcarlson,twitter,17,miguelsoler,twitter,0.81505,0.642591,0.987508,0.845469,0.158065,False
adamcarlson,twitter,18,robaris,twitter,0.814729,0.653978,0.975479,0.831892,0.221453,False
adamcarlson,twitter,19,lindsayrain,twitter,0.814309,0.645326,0.983291,0.842229,0.182805,False
adamcarlson,twitter,20,consuelogandia,twitter,0.81369,0.642797,0.984583,0.845226,0.175596,False
adamchristianson,twitter,1,vikashkrgupta,twitter,0.927073,0.892776,0.96137,0.463085,0.277958,False
adamchristianson,twitter,2,joelsteinmann,twitter,0.925284,0.898396,0.952171,0.450786,0.309287,False
adamchristianson,twitter,3,sueblack,twitter,0.917527,0.880092,0.954961,0.48971,0.300129,False
